user_id,partition
145613,1
164771,1
137996,1
130237,1
46819,1
81624,1
125197,1
136189,1
160259,1
197144,1
145289,1
43765,1
83120,1
92003,1
16670,1
55930,1
21129,1
104585,1
129853,1
51817,1
108194,1
29108,1
204344,1
109924,1
124912,1
74050,1
129477,1
120159,1
17694,1
55300,1
54961,1
86422,1
197705,1
55205,1
160693,1
176228,1
134837,1
83146,1
64069,1
1287,1
92756,1
41175,1
77141,1
664,1
114616,1
45685,1
68507,1
152791,1
165227,1
167937,1
175218,1
136973,1
85318,1
133685,1
81658,1
171825,1
9356,1
116373,1
158639,1
11799,1
51254,1
146033,1
168722,1
76099,1
76073,1
9685,1
83281,1
171652,1
163553,1
196919,1
152083,1
127009,1
164968,1
164221,1
27391,1
39907,1
149022,1
149618,1
116870,1
72122,1
17641,1
75041,1
56048,1
96069,1
36582,1
1657,1
200550,1
196365,1
101020,1
57442,1
85474,1
31997,1
7716,1
3167,1
111866,1
65635,1
68833,1
399,1
53852,1
145214,1
165827,1
165644,1
93892,1
79783,1
18424,1
73448,1
113357,1
190646,1
201859,1
143807,1
87729,1
87568,1
151561,1
171221,1
147659,1
125336,1
70815,1
190838,1
57524,1
156688,1
178510,1
118998,1
47812,1
56758,1
31960,1
130137,1
161777,1
81014,1
138692,1
30057,1
85962,1
100063,1
103259,1
1276,1
84111,1
72561,1
130721,1
186814,1
145159,1
138551,1
85270,1
205329,1
101516,1
135177,1
120824,1
71078,1
71966,1
162283,1
74779,1
99435,1
141854,1
26152,1
130885,1
199286,1
130349,1
199021,1
31484,1
74768,1
88342,1
144269,1
81491,1
117137,1
187476,1
117192,1
57295,1
38009,1
119523,1
120591,1
22523,1
69979,1
166186,1
54951,1
64924,1
134489,1
107545,1
201139,1
82698,1
4670,1
148,1
85679,1
97297,1
83077,1
25495,1
54686,1
93094,1
83630,1
19484,1
111092,1
27919,1
119861,1
16378,1
205454,1
19433,1
136643,1
55764,1
165276,1
95801,1
174324,1
49285,1
107081,1
204074,1
121445,1
4403,1
38889,1
24843,1
169232,1
205622,1
78787,1
19972,1
202296,1
33465,1
148503,1
74163,1
140222,1
196881,1
41200,1
55260,1
80969,1
78640,1
140590,1
86580,1
189158,1
94991,1
92225,1
133441,1
159672,1
60249,1
54379,1
137553,1
197358,1
194016,1
77475,1
93239,1
6675,1
105266,1
103482,1
184499,1
81207,1
174888,1
50637,1
103829,1
39461,1
52042,1
200311,1
166801,1
12062,1
151844,1
88346,1
136146,1
133743,1
67756,1
89370,1
21045,1
35650,1
68550,1
71102,1
89937,1
202701,1
82714,1
170773,1
113235,1
25577,1
42472,1
172488,1
42678,1
122209,1
57283,1
182669,1
96325,1
191500,1
54169,1
12195,1
75941,1
58912,1
82695,1
196151,1
14754,1
26778,1
74883,1
57996,1
65821,1
81679,1
183087,1
29030,1
99683,1
105223,1
137543,1
152366,1
14396,1
119324,1
33154,1
68848,1
19092,1
171205,1
55125,1
19010,1
171770,1
77248,1
165712,1
50532,1
197235,1
70087,1
137139,1
18507,1
90386,1
69383,1
50843,1
15299,1
189987,1
57556,1
40453,1
168036,1
1669,1
82590,1
172212,1
41955,1
141199,1
19279,1
146983,1
201815,1
56820,1
183521,1
175254,1
77978,1
41733,1
13617,1
2597,1
76153,1
19347,1
164764,1
52842,1
174906,1
35594,1
64532,1
92800,1
100495,1
180824,1
70798,1
205701,1
5872,1
54166,1
160674,1
109165,1
132549,1
25351,1
174350,1
31411,1
163996,1
101862,1
187931,1
97010,1
178541,1
54868,1
14201,1
170139,1
58447,1
146457,1
89354,1
136144,1
135190,1
169966,1
91691,1
74527,1
37085,1
65173,1
176370,1
26362,1
166320,1
51126,1
58031,1
194029,1
91987,1
100761,1
26315,1
51465,1
114271,1
92459,1
84585,1
199653,1
82532,1
9412,1
46243,1
152836,1
204123,1
114213,1
148559,1
193852,1
6063,1
118474,1
135284,1
22425,1
10425,1
56911,1
137892,1
154961,1
120833,1
106144,1
106953,1
103696,1
112947,1
124710,1
180570,1
35886,1
101363,1
32027,1
147463,1
178620,1
206126,1
65573,1
98404,1
55035,1
73493,1
31098,1
179921,1
54273,1
24873,1
34247,1
105535,1
68286,1
204002,1
31882,1
131480,1
46307,1
16801,1
108525,1
7140,1
179549,1
147953,1
84106,1
28180,1
120053,1
86201,1
151157,1
194768,1
150212,1
110536,1
58165,1
176420,1
118728,1
185062,1
71309,1
148366,1
60841,1
32489,1
141802,1
158716,1
77627,1
45660,1
68376,1
129747,1
147234,1
27906,1
143717,1
43902,1
173843,1
140643,1
123883,1
159740,1
121879,1
60179,1
96487,1
50709,1
160512,1
85575,1
8711,1
127024,1
65384,1
108572,1
73022,1
97713,1
11565,1
103261,1
125781,1
88756,1
200420,1
71776,1
57077,1
72344,1
39333,1
63866,1
129267,1
152823,1
99607,1
179719,1
802,1
112381,1
151197,1
10237,1
166037,1
180935,1
82745,1
88867,1
81991,1
61620,1
85428,1
13947,1
172280,1
132514,1
58466,1
9373,1
177415,1
176996,1
47600,1
178692,1
51720,1
17398,1
133434,1
136345,1
7369,1
203597,1
32723,1
61430,1
111129,1
43650,1
79313,1
13855,1
134887,1
33771,1
38135,1
17049,1
159848,1
42773,1
193202,1
84965,1
137751,1
23896,1
94635,1
91997,1
29479,1
14169,1
7029,1
4863,1
23321,1
138271,1
99033,1
100816,1
45230,1
10016,1
141332,1
175841,1
185877,1
70960,1
197168,1
64393,1
17276,1
154982,1
73322,1
28669,1
23827,1
4354,1
98472,1
9826,1
117138,1
69842,1
1156,1
77971,1
119733,1
192121,1
27189,1
125463,1
100097,1
41790,1
110558,1
60693,1
83984,1
98555,1
188625,1
131600,1
151938,1
132044,1
118451,1
175563,1
55053,1
26532,1
180517,1
170260,1
3269,1
58251,1
192833,1
81380,1
88226,1
76494,1
142432,1
183496,1
77249,1
105826,1
168079,1
49226,1
153959,1
4242,1
50765,1
48976,1
167561,1
72420,1
94420,1
192274,1
20445,1
187549,1
69584,1
117133,1
196796,1
636,1
82071,1
132546,1
122921,1
12920,1
188165,1
9678,1
123038,1
203905,1
79139,1
173343,1
36177,1
93969,1
199256,1
56134,1
68453,1
50899,1
121908,1
83304,1
116266,1
142998,1
180783,1
8510,1
75631,1
109020,1
2960,1
83063,1
100830,1
145485,1
31079,1
33300,1
134089,1
43316,1
173645,1
54922,1
18644,1
140768,1
18280,1
43187,1
15242,1
26434,1
